title,available,promotion,terms_and_conditions,link
"Exclusive offers at Nelayan Seafood, Johor Bahru",1 January 2023 – 31 January 2024,10% OFF F&B at Nelayan Seafood Johor Bahru,"1. Payment must be made with a Maybank Mastercard®, Visa or American Express® Card.2. Promotion is valid from 26 January 2023 until 31 December 2023.3. Offers cannot be exchanged for cash or used in conjunction with other promotions/offers, coupons/vouchers and loyalty/privilege card.4. Subject to terms & conditions imposed by Nelayan Seafood Johor Bahru.",https://mytreats.maybank.com/cardpromotions/malaysia/2023/06/24/exclusive-offers-at-nelayan-seafood-johor-bahru/
"15% OFF Total Bill at Amaya Food Gallery & Amaya Cafe, Amari Johor Bahru",1 February 2023 – 31 January 2024,"15% OFF Total Bill at Amaya Food Gallery & Amaya Cafe, Amari Johor Bahru","1. Payment must be made with a Maybank Mastercard®, Visa or American Express® Card.2. Promotion is valid from 1 February 2023 until 31 January 2024.3. Offer cannot be exchanged for cash or used in conjunction with other promotions/offers, coupons/vouchers and loyalty/privilege cards.4.Not valid with other ongoing promotions, festive promotions and discounts.5.Not valid for meetings and events.6.Offer is valid for all days, except Public Holidays.7.Not valid for alcohol and tobacco products.8.Subject to terms & conditions imposed by Amari Johor Bahru .",https://mytreats.maybank.com/cardpromotions/malaysia/2023/06/24/15-off-total-bill-at-amaya-food-gallery-amaya-cafe-amari-johor-bahru/
"15% Off total bill at Bar Trigona, The Lounge & Curate @ Four Seasons Hotel Kuala Lumpur",1 January 2023 – 31 December 2023,"15% off total bill excluding alcohol beverages, cigar, tobacco and retail products","1. Payment must be made with a Maybank Mastercard®, Visa, American Express® Card, Debit or Prepaid Card (issued by Maybank Malaysia, Singapore, Indonesia, Philippines, Brunei & Cambodia) OR any American Express Card.2. Promotions and discounts accorded are valid from 1 January 2023 till 31 December 2023. (Blackout dates apply, kindly contact +603 2382 8888 for further information)3. Reservation must be guaranteed by registered credit card upon reservation.4. Payment must be made by registered credit card, otherwise full rate applies.5. Not valid for purchase of alcohol beverages, cigar, tobacco and retail products.6. Not valid in conjunction with other promotions, offers, privileges, vouchers, loyalty program, privilege card(s) and mutually exclusive.",https://mytreats.maybank.com/cardpromotions/malaysia/2023/06/24/15-off-total-bill-at-bar-trigona-the-lounge-curate-four-seasons-hotel-kuala-lumpur/
Get 15% OFF at Upeh,1 January 2023 – 31 December 2023,Get 15% OFF with a minimum spend of RM150 at Upeh,"1. Payment must be made with a Maybank Mastercard®, Visa or American Express® Card.2. Promotion is valid from 1 January 2023 until 31 December 2023.3. Valid for any purchase of RM150.00 in a single receipt.4. Promotion is available for dine in only.5. Not available during weekends and public holiday.6. This promotion is non-transferable and non-cumulative and cannot be used in conjunction with any other discounts, vouchers, privileges, or promotions (unless otherwise specified).7. The promotion cannot be exchanged for cash or other products.8. Maybank is not the agent of the partner and makes no representation as to the quality of goods and/or services provided. Any dispute about the goods and/or service is to be resolved directly with the partner.9. Subject to terms & conditions imposed by Upeh .",https://mytreats.maybank.com/cardpromotions/malaysia/2023/06/24/get-15-off-at-upeh/
20% OFF Total Bill at The Skinny Bakers,1 January 2023 – 31 December 2023,20% OFF Total Bill at The Skinny Bakers,"1. Payment must be made with a Maybank Mastercard® or Visa Card.2. Promotion is valid from 1 January 2023 until 31 December 2023.3. Offer cannot be exchanged for cash or used in conjunction with other promotions/offers, coupons/vouchers and loyalty/privilege cards.4. The promotion is valid from 1 January 2023 till 31 December 2023, inclusive of both dates.5. Only available in a single receipt.6. Products are available while stocks last.7. Key-in promo code: MAYBANKTSB20 at the checkout page to enjoy the promotion.8. Maybank is not an agent of the partner and makes no representation as to the quality of goods and/or services provided. Any disputes about the goods and/or service is to be resolved directly with the partner.9. Subject to terms & conditions imposed by The Skinny Bakers.",https://mytreats.maybank.com/cardpromotions/malaysia/2023/06/24/20-off-total-bill-at-the-skinny-bakers/
Get 1 Complimentary small sake at Tansen & Butaya Izakaya,1 January 2023 – 31 December 2023,Get 1 complimentary Small Carafe Sake (NP: RM22) upon dine-in with no minimum spend at Tansen & Butaya Izakaya,"1. Payment must be made with a Maybank Mastercard® or Visa Card.2. Promotion is valid from 1 January 2023 until 31 December 2023.3. Offer cannot be exchanged for cash or used in conjunction with other promotions/offers, coupons/vouchers and loyalty/privilege cards.4. No minimum spend is required.5. Offer is valid for 12 months.6. Valid for dine-in only.",https://mytreats.maybank.com/cardpromotions/malaysia/2023/06/24/get-1-complimentary-small-sake-at-tansen-butaya-izakaya/
15% Off total bill at Southern Rock Seafood,1 January 2023 – 31 December 2023,15% OFF total bill (capped at RM30) with a minimum spend of RM100 at Southern Rock Seafood,"1. Payment must be made with a Maybank Mastercard® or Visa Card.2. Promotion is valid from 1 January 2023 until 31 December 2023.3. Offer cannot be exchanged for cash or used in conjunction with other promotions/offers, coupons/vouchers and loyalty/privilege cards.4. The promotion is applicable with a minimum spending of RM100 in a single receipt.5. Promotion is valid for eat-in or take-away only.6. Promotion is only applicable at Southern Rock Seafood Cafe & Fishmonger, Bangsar.7. Present the Maybank Credit or Debit Card before ordering & making payment.",https://mytreats.maybank.com/cardpromotions/malaysia/2023/06/24/15-off-total-bill-at-southern-rock-seafood/
20% OFF at Sala Malaysia,1 January 2023 – 31 December 2023,20% OFF with minimum spend of RM50 at Sala malaysia,"1. Payment must be made with a Maybank Mastercard® or Visa Card.2. Promotion is valid from 1 January 2023 until 31 December 2023.3.Offer cannot be exchanged for cash or used in conjunction with other promotions/offers, coupons/vouchers and loyalty/privilege cards.4. Offer is valid at all SALA Malaysia restaurant outlets.5. Discount promo only applicable for food items.6. Offer is valid for dine-in and takeaways.7. This offer may be subject to applicable tax, if any.8. Subject to terms & conditions imposed by SALA Malaysia .",https://mytreats.maybank.com/cardpromotions/malaysia/2023/06/24/20-off-at-sala-malaysia/
Enjoy up to 15% OFF at Raintree,1 January 2023 – 31 December 2023,15% OFF A La Carte Food + 1 Complimentary House Beverage (Ice Lemon Tea) worth RM13.90 with a minimum of 1 main dish order at Raintree,"1. Payment must be made with a Maybank Mastercard® or Visa Card.2. Promotion is valid from 1 January 2023 until 31 December 2023.3. The promotion is non-transferable and non-cumulative and cannot be used in conjunction with any other discounts, vouchers, privileges or promotions (unless otherwise specified).4. The promotion cannot be exchanged for cash or other products.5. Maybank is not an agent of the partner and makes no representation as to the quality of goods and/or services provided. Any dispute about the goods and/or service is to be resolved directly with the partner.6. Subject to terms & conditions imposed by Raintree.7. Valid for dine-in only.8. Not valid on eve of public holidays & public holidays.",https://mytreats.maybank.com/cardpromotions/malaysia/2023/06/24/enjoy-up-to-15-off-at-raintree/
10% OFF Total Bill at myPizza Lab,1 January 2023 – 31 December 2023,10% OFF Total Bill at myPizza Lab,"1. Payment must be made with a Maybank Mastercard®, Visa or American Express® Card.2. Promotion is valid from 1 January 2023 until 31 December 2023.3. Offer is applicable for Walk-in Orders – Users are to request for the deal from the cashier when placing their order. Payment must be made with Maybank Debit / Credit Card. Requests for the deal after payment has been made will not be entertained.4. Applicable for orders from all participating myPizzaLab outlets only.5. Availability of dine-in will be subjected to change depending on government announcements.6. Offer does not stack with any other vouchers, promotions, or discounts.7. Present Maybank Credit or Debit Card before ordering & making payment.8. Subject to terms & conditions imposed by myPizzaLab .9. Maybank makes no representation or warranty for product and services offered by myPizzalab and shall not be liable or responsible for any changes, claims, loss or damages resulting from this offer. Pictures shown are for illustration purposes only.",https://mytreats.maybank.com/cardpromotions/malaysia/2023/06/24/10-off-total-bill-at-mypizza-lab/
